Country,Country Code,Series,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,,,,,,,,,,,,,,,
Afghanistan,AFG,PISA: Mean performance on the science scale,LO.PISA.SCI,,,,,,,,,,,,,,,
Afghanistan,AFG,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,,,,,,,,,,,,,,,
Afghanistan,AFG,Pupil-teacher ratio in secondary education (headcount basis),SE.SEC.ENRL.TC.ZS,,,,,,,31.56236,,,,,,,,
Afghanistan,AFG,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,,,,,,,,,,,,,,,
Afghanistan,AFG,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,,,,,,,,,,,,,,,
Afghanistan,AFG,Pupil-teacher ratio in lower secondary education (headcount basis),UIS.PTRHC.2,,,,,,,31.88292,31.37915,41.37085,43.62042,42.79376,43.8545,45.04142,,
Afghanistan,AFG,Pupil-teacher ratio in upper secondary education (headcount basis),UIS.PTRHC.3,,,,,,,30.74908,,,,,,,,
Afghanistan,AFG,"Teachers in lower secondary education, both sexes (number)",UIS.T.2,,,,,,,23539,33902,30775,33856,34247,34990,34838,,
Afghanistan,AFG,"Teachers in upper secondary education, both sexes (number)",UIS.T.3,,,,,,,9278,,,,,,,,
Afghanistan,AFG,"Percentage of teachers in upper secondary education who are trained, both sexes (%)",UIS.TRTP.3,,,,,,,,,,,,,,,
Afghanistan,AFG,"Percentage of teachers in lower secondary education who are trained, both sexes (%)",UIS.TRTP.2,,,,,,,,,,,,,,,
Afghanistan,AFG,Government expenditure per secondary student as % of GDP per capita (%),SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,19243809576.146,21284923741.8711,22101051845.4596,25361506967.689,27592569386.2211,32219074628.1363,34037461834.9537,41505186150.8451,45555112827.4411,49338254430.557,57473689653.1351,59458265641.0037,61531389479.9864,
Afghanistan,AFG,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 3: Teacher salaries,SABER.PRVT.GOAL1.LVL3,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Engaging the Private Sector) Policy Goal 1 Lever 1: Teacher standards,SABER.PRVT.GOAL1.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 2 Lever 1: Are entry requirements set up to attract talented candidates?,SABER.TECH.GOAL2.LVL1,,,,,,,,,,,,,,,
Afghanistan,AFG,SABER: (Teachers) Policy Goal 2 Lever 2: Is teacher pay appealing for talented candidates?,SABER.TECH.GOAL2.LVL2,,,,,,,,,,,,,,,
